syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-25,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-26,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-27,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-28,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-29,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-30,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg03,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg04,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg05,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg06,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg07,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg08b,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-groupconcat-01,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-groupconcat-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-groupconcat-03,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-avg-01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-avg-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-min-01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-min-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-max-01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-max-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-sum-01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-sum-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-sample-01,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-empty-group,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind03,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind04,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind05,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind06,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind07,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind08,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind10,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bind,bind11,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,values1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,values2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,values3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,values4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,values5,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,values6,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,values7,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,values8,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,inline1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-sparql11,bindings,inline2,True,True,True,True,True,SELECT,False,True,False
